code,direct,opentime,openprice,closetime,closeprice,qty,profit,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.ETF.159922,SHORT,202308280956,5.972,202308280958,5.972,100,-0,0,,,2,4
SZSE.ETF.159922,LONG,202308280958,5.972,202308280959,5.972,100,0,0,,,4,5
SZSE.ETF.159922,SHORT,202308280959,5.972,202308281000,5.98,100,-80,-80,,,5,6
SZSE.ETF.159922,LONG,202308281000,5.98,202308281001,5.97,100,-100,-180,,,6,7
SZSE.ETF.159922,SHORT,202308281001,5.97,202308281002,5.987,100,-170,-350,,,7,8
SZSE.ETF.159922,LONG,202308281002,5.987,202308281003,5.975,100,-120,-470,,,8,9
SZSE.ETF.159922,SHORT,202308281009,5.968,202308281012,5.958,100,100,-370,,,15,18
SZSE.ETF.159922,LONG,202308281012,5.958,202308281014,5.967,100,90,-280,,,18,20
SZSE.ETF.159922,SHORT,202308281014,5.967,202308281015,5.978,100,-110,-390,,,20,21
SZSE.ETF.159922,LONG,202308281016,5.968,202308281018,5.963,100,-50,-440,,,22,24
SZSE.ETF.159922,SHORT,202308281018,5.963,202308281019,5.977,100,-140,-580,,,24,25
SZSE.ETF.159922,LONG,202308281019,5.977,202308281020,5.955,100,-220,-800,,,25,26
SZSE.ETF.159922,SHORT,202308281020,5.955,202308281021,5.973,100,-180,-980,,,26,27
SZSE.ETF.159922,LONG,202308281026,5.947,202308281028,5.943,100,-40,-1020,,,32,34
SZSE.ETF.159922,SHORT,202308281028,5.943,202308281029,5.95,100,-70,-1090,,,34,35
SZSE.ETF.159922,LONG,202308281029,5.95,202308281030,5.946,100,-40,-1130,,,35,36
SZSE.ETF.159922,LONG,202308281031,5.949,202308281033,5.945,100,-40,-1170,,,37,39
SZSE.ETF.159922,LONG,202308281037,5.96,202308281038,5.958,100,-20,-1190,,,43,44
SZSE.ETF.159922,SHORT,202308281038,5.958,202308281039,5.965,100,-70,-1260,,,44,45
SZSE.ETF.159922,LONG,202308281039,5.965,202308281040,5.968,100,30,-1230,,,45,46
SZSE.ETF.159922,SHORT,202308281415,5.885,202308281417,5.883,100,20,-1210,,,171,173
SZSE.ETF.159922,LONG,202308281430,5.869,202308281431,5.864,100,-50,-1260,,,186,187
SZSE.ETF.159922,SHORT,202308281431,5.864,202308281432,5.865,100,-10,-1270,,,187,188
SZSE.ETF.159922,SHORT,202308281434,5.856,202308281435,5.869,100,-130,-1400,,,190,191
SZSE.ETF.159922,SHORT,202308281440,5.85,202308281442,5.862,100,-120,-1520,,,196,198
SZSE.ETF.159922,LONG,202308281442,5.862,202308281444,5.858,100,-40,-1560,,,198,200
SZSE.ETF.159922,SHORT,202308281444,5.858,202308281445,5.866,100,-80,-1640,,,200,201
SZSE.ETF.159922,LONG,202308281445,5.866,202308281448,5.88,100,140,-1500,,,201,204
SZSE.ETF.159922,SHORT,202308281448,5.88,202308281449,5.885,100,-50,-1550,,,204,205
SZSE.ETF.159922,SHORT,202308281454,5.864,202308281455,5.866,100,-20,-1570,,,210,211
SZSE.ETF.159922,LONG,202308281455,5.866,202308281456,5.864,100,-20,-1590,,,211,212
